Date,Open,High,Low,Close,Volume,Market Cap
17-03-2021,126.07863944,126.43372469,125.21940165,125.52153974,988.81,0
16-03-2021,122.96888973,126.26609313,120.51645124,126.06636682,1554.79,0
15-03-2021,121.42598959,123.98117277,121.2908415,122.92461039,43414.94,0
14-03-2021,124.04602037,124.35824757,120.63146534,121.42650211,487.87,0
13-03-2021,121.62485865,126.22462802,121.08079724,124.04763952,589.93,0
12-03-2021,123.03079566,123.2416073,119.57041147,121.63582214,2354.05,0
11-03-2021,120.9462988,123.60484068,119.98427559,123.0274853,24572.77,0
10-03-2021,120.94760152,122.41555017,120.72240057,120.94911307,384.77,0
09-03-2021,118.47800761,120.94156856,117.31622004,120.9326339,1508.73,0
08-03-2021,122.44109098,123.70175863,117.98216952,118.47899978,4284.75,0
07-03-2021,122.256,123.36080923,119.6851084,122.48442802,1066.81,0
06-03-2021,120.23182302,122.256,118.17559152,122.256,124.69,0
05-03-2021,120.42567697,120.80135429,118.56255575,120.24178603,85325.51,0
04-03-2021,123.53904476,124.21278668,119.61514151,120.42555983,3661.4,0
03-03-2021,127.85413613,127.86514622,123.53871405,123.53871405,14940.48,0
02-03-2021,127.95636643,128.55232476,127.12124565,127.85306675,972.4,0
01-03-2021,121.3341453,128.06123042,121.18701685,127.94435606,7122.88,0
28-02-2021,120.83584966,122.25228219,118.59241327,121.33409651,1920.66,0
27-02-2021,122.41873243,123.80606221,119.22983472,120.9448737,1081.17,0
26-02-2021,120.09396359,124.50217096,117.6745376,122.31054573,5050.47,0
25-02-2021,124.71284043,125.85877673,120.08299057,120.37484863,3330.88,0
24-02-2021,126.99020681,127.67646332,123.24085987,124.70762246,11372.65,0
23-02-2021,128.3072343,128.3072343,119.55003664,126.98437862,12898.02,0
22-02-2021,131.46985837,131.46985837,124.71026905,128.31907939,9584.15,0
21-02-2021,128.43575984,132.4651617,128.14994471,131.37298259,626.47,0
20-02-2021,129.76667823,130.72983559,127.46459676,128.43695113,2970.85,0
19-02-2021,129.80577021,131.18352621,129.0239698,129.73794706,10818,0
18-02-2021,131.19472895,131.45643565,128.9935641,129.80614665,3871.01,0
17-02-2021,133.20673606,134.36606173,130.22333729,131.19494331,50021.95,0
16-02-2021,136.35706055,139.21465371,132.2262832,133.25345488,60402.46,0
15-02-2021,135.04700177,137.55597231,135.04378443,136.38150991,47837.48,0
14-02-2021,136.75313999,140.67994253,134.89639669,135.0473905,6585.46,0
13-02-2021,135.24409613,137.57938051,133.08097289,136.767907,12761.52,0
12-02-2021,136.43481187,137.47632386,133.52376732,135.26701785,4330.86,0
11-02-2021,135.03546192,139.67666499,133.41213892,136.40607986,14494.1,0
10-02-2021,137.6308581,138.20840966,134.02656566,134.94952093,17408.98,0
09-02-2021,137.47311824,140.59773053,134.12474854,137.61798444,29353.59,0
08-02-2021,138.30797475,140.27390221,134.1597026,137.39486674,126261.34,0
07-02-2021,135.2420441,138.56906253,132.4743964,138.31579624,675.89,0
06-02-2021,137.0804416,137.90708111,134.8791006,135.19998197,3063.89,0
05-02-2021,136.87452296,139.23494185,136.33423586,137.06399563,4601.11,0
04-02-2021,136.72651964,140.64553578,131.68874684,136.89386555,13494.69,0
03-02-2021,135.28432602,141.29486859,133.9537275,136.64264572,27730.95,0
02-02-2021,133.95066469,137.41293631,133.88058283,135.25581612,4886.25,0
01-02-2021,132.4599625,134.64276156,130.03925049,133.9042796,5713.41,0
31-01-2021,131.78516147,132.66976443,130.33112457,132.45160209,2283.2,0
30-01-2021,131.59857713,133.70741397,129.06330925,131.78372784,2178.25,0
29-01-2021,139.50792214,141.07168753,127.08508731,131.60290005,67272.92,0
28-01-2021,143.71689235,146.37230333,133.17062775,139.39096856,124950.93,0
27-01-2021,143.05232898,145.1335624,141.81220575,143.73084992,162322.78050618,0
26-01-2021,137.85793556,144.21896472,137.80202616,143.06551044,3809.26027876,0
25-01-2021,140.87179463,143.49457538,137.69571626,137.85267204,8258.25345768,0
24-01-2021,136.4266544,140.89982184,136.01643596,140.87164082,668.24861753,0
23-01-2021,138.84541886,139.221,136.22662929,136.41347917,0,0
22-01-2021,135.92870873,139.71248077,130.73952879,138.84580393,6622.69506852,0
21-01-2021,132.17424508,137.64761123,130.26219284,136.07138403,1740.63531258,0
20-01-2021,126.51991647,132.25755396,126.07586611,132.22744217,2179.68124106,0
19-01-2021,128.10960488,128.24312085,126.29574725,126.71640883,71.92972538,0
18-01-2021,124.6621653,129.12357181,121.82870096,128.10929089,211.81813876,0
17-01-2021,127.88952868,128.35900851,124.19228485,124.81403498,86.73643385,0
16-01-2021,128.44331223,129.54089584,127.35052368,127.89215244,1115.50890377,0
15-01-2021,131.83495229,132.31540621,126.20495167,128.40180252,674.91042375,0
14-01-2021,131.75685645,133.77523577,130.60970987,131.83994226,1508.1553414,0
13-01-2021,130.38221816,135.30532632,130.34254491,131.7366631,1251.20071409,0
12-01-2021,130.7665471,131.1931655,125.65454882,130.3803571,7509.00895433,0
11-01-2021,133.23661157,138.26159393,127.81288689,130.74038682,7842.11277133,0
10-01-2021,127.96372957,134.41093953,127.9627,133.24877471,1360.33068592,0
09-01-2021,132.73080868,133.4515321,127.66691599,127.9670786,1209.57939842,0
08-01-2021,136.30917537,141.3977453,129.18741615,132.75008315,18112.4674113,0
07-01-2021,129.04277216,137.2041255,126.09383865,136.37178733,1789.19289921,0
06-01-2021,132.19992803,136.17785815,124.84458375,129.06245906,1500.78855747,0
05-01-2021,130.17591687,134.95606987,126.84221772,132.1854515,951.43679701,0
04-01-2021,133.4853286,137.4665066,128.6443066,130.18275688,2386.2140561,0
03-01-2021,136.48390808,136.6874512,131.59947338,133.55202428,5090.39066115,0
02-01-2021,134.72002635,140.14419051,128.1655519,136.36870764,13606.89039191,0
01-01-2021,133.41242216,134.72913576,132.86650128,134.72002635,218.72037434,0
31-12-2020,135.00491984,135.02833994,132.62282069,133.41256328,2121.11489226,0
30-12-2020,138.20451248,141.27797648,133.30765352,135.00459491,28960.30175555,0
29-12-2020,135.21134742,138.66192221,135.18736128,138.20623744,3017.84926089,0
28-12-2020,132.42529264,135.23560259,132.38335464,135.2142271,26896.24539524,0
27-12-2020,131.92802305,138.71845404,129.57626734,132.43025031,3011.87594337,0
26-12-2020,134.18629658,137.32014622,131.36527169,131.89990434,2199.77546484,0
25-12-2020,132.63155401,135.2389036,131.17324702,134.18610051,31572.5625439,0
24-12-2020,131.26864298,133.90912536,130.49139177,132.78115218,985.9470687,0
23-12-2020,133.16108986,133.24702155,130.94076129,131.3005716,1218.4582757,0
22-12-2020,127.57856148,135.49410105,127.54006412,133.16346063,34093.44607349,0
21-12-2020,127.36421122,129.09034807,118.4671651,127.59769659,6727.53610934,0
20-12-2020,126.65862824,129.58379533,125.09066569,127.34622514,1492.9738326,0
19-12-2020,126.19544614,127.33616902,126.17511971,126.65896552,316.7113164,0
18-12-2020,126.89478857,129.67517066,126.16297979,126.19528181,7877.99056423,0
17-12-2020,127.42984621,130.87047711,126.53979875,126.91141334,13499.01950127,0
16-12-2020,126.45583558,129.45682788,126.21926054,127.44472037,23019.39730089,0
15-12-2020,121.29821733,126.97707266,120.2476988,126.46501084,214.23494124,0
14-12-2020,123.14645702,124.77767096,121.17650366,121.30187328,1444.78057397,0
13-12-2020,122.96223695,125.35612565,122.79506232,123.14584987,854.89901124,0
12-12-2020,121.52069613,123.63526793,121.49004791,122.9442533,5335.66156899,0
11-12-2020,122.80553556,124.09315212,121.49717209,121.5589359,413.02736058,0
10-12-2020,122.45632431,123.54283908,120.43020827,122.85192729,10230.37213979,0
09-12-2020,121.88087534,127.25848328,120.49910541,122.46868421,2208.04633464,0
